Market,Handle,Revenue,Hold,Taxes
New Jersey,52443462758,3943171809,0.08,549021950
New York,46873807373,4123762418,0.09,2077801621
Nevada,41087108064,2370580000,0.06,160014150
Illinois,36017791619,2988258982,0.08,475600354
Pennsylvania,30598376852,2549532738,0.08,625906578
Colorado,18809537885,1299296839,0.07,76910141
Arizona,17682387197,1512903135,0.09,89507128
Indiana,17283996700,1514751254,0.09,143958595
Virginia,16622296632,1619312407,0.1,183226290
Michigan,16291119914,1430984249,0.09,73489627
Tennessee,13607822797,1339647008,0.1,240984827
Ohio,11145504113,1319221491,0.12,210623212
Iowa,8900798898,650370089,0.07,43931843
Massachusetts,8531408221,809427825,0.1,157361289
Maryland,8440255094,976436705,0.12,88453255
Louisiana,6997915751,816784675,0.12,108041895
Connecticut,4639078476,470867975,0.1,49375291
Kansas,4040302120,354629689,0.09,17536109
New Hampshire,3085693862,253630842,0.08,114755148
Mississippi,2697234724,299102289,0.11,35892275
West Virginia,2512226768,222302012,0.09,22232111
North Carolina,2217692669,275130496,0.12,41269574
Oregon,2189501130,227071032,0.1,113535516
Rhode Island,2166284251,190972720,0.09,97396087
Kentucky,1955435002,234150987,0.12,32431622
Arkansas,957165156,91901440,0.1,13538028
District of Columbia,774654296,95926413,0.12,26319992
Delaware,698965910,125682921,0.18,75529737
Wyoming,449413954,46666430,0.1,2693253
Maine,317827835,31641026,0.1,3232541
Montana,210549497,27672593,0.13,3970586
Vermont,91682342,11441332,0.13,6493585
South Dakota,23242703,2344056,0.1,210965